week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2018-12-03,0.028691135,0.015210899,0.015709843,0.14539829,0.27618992,0.032176454,0.017540518,0.1970064,0.010322289,0.026353922,0.1389228,0.044396613,0.03334327,0.018737663
2018-12-10,0.52571577,0.041976534,0.02396521,0.09624585,0.03049181,0.014789987,0.009364725,0.036886595,0.005133545,0.053384546,0.10116242,0.039851837,0.020649482,0.0003816968
2018-12-24,0.025931297,0.011382086,0.01763837,0.5789707,0.033274893,0.032946188,0.0101125315,0.07140364,0.008078056,0.011284477,0.07605957,0.06245969,0.031380054,0.029078515
2018-12-31,0.017002357,0.021353696,0.031590603,0.18279754,0.08995093,0.03874012,0.015976034,0.078147486,0.015552974,0.01637104,0.11678094,0.3297403,0.031035898,0.01496013
2019-01-07,0.030685605,0.021269957,0.020566145,0.57479745,0.060564842,0.027769608,0.015156177,0.061348356,0.01420601,0.02333561,0.06318048,0.04234992,0.023753924,0.021015905
2019-01-14,0.03795684,0.012540826,0.031839497,0.58931196,0.046833526,0.02451656,0.018338235,0.06858971,0.012473351,0.029753434,0.045468196,0.043791413,0.024312945,0.0142735
2019-01-21,0.028709013,0.024777291,0.052441113,0.48473668,0.04466954,0.033281494,0.020177908,0.059588194,0.022736376,0.03736492,0.07062578,0.076870106,0.028457858,0.015563724
2019-01-28,0.023068849,0.021776482,0.08401706,0.3963707,0.051192924,0.035715677,0.014403675,0.09809359,0.021070218,0.039075896,0.0832697,0.06595,0.039131474,0.026863733
2019-02-04,0.033444114,0.013584017,0.23298725,0.10393089,0.0891072,0.046819903,0.04474771,0.10503719,0.021121753,0.05170432,0.085677326,0.06372395,0.087099075,0.021015313
2019-02-11,0.022409817,0.012296438,0.044590913,0.16618039,0.07999003,0.051356353,0.035752065,0.07670998,0.021571934,0.27834317,0.06682265,0.06604183,0.05154963,0.02638478
2019-02-18,0.021492489,0.029602906,0.0463693,0.15549625,0.058022395,0.06599385,0.03636141,0.08547168,0.017918158,0.05202973,0.07546887,0.27031827,0.06914785,0.016306872
2019-02-25,0.037581243,0.019133708,0.06946042,0.07619238,0.31969488,0.03621148,0.025585271,0.11289715,0.038666967,0.029453063,0.09579902,0.05072202,0.048737448,0.03986494
2019-03-04,0.033115584,0.025625141,0.26840234,0.10493325,0.081835136,0.036252532,0.015519215,0.09407222,0.0162438,0.04788064,0.17601983,0.027486894,0.0552954,0.017318057
2019-03-11,0.043912284,0.026353175,0.028495874,0.16061075,0.066734456,0.054850504,0.03589601,0.29239637,0.021536456,0.012651866,0.10282839,0.05420537,0.068959355,0.030569097
2019-03-18,0.032046314,0.016425436,0.060049094,0.29298556,0.08298272,0.02754993,0.02527791,0.13726832,0.021546936,0.041060455,0.12779386,0.04620628,0.050211802,0.03859542
2019-03-25,0.022132484,0.02331923,0.04382092,0.14564231,0.079839796,0.050507456,0.023711786,0.103978336,0.049418323,0.032253586,0.1064171,0.07240989,0.03883127,0.20771755
2019-04-01,0.031120148,0.02078005,0.06010314,0.10701268,0.085050106,0.043340154,0.034221277,0.09740828,0.030184058,0.039686803,0.12783201,0.025896493,0.283376,0.0139887715
2019-04-08,0.03015415,0.019900111,0.05810895,0.16296224,0.09940172,0.028962528,0.036309708,0.09267324,0.019996956,0.046217356,0.10357296,0.06435323,0.04383586,0.19355097
2019-04-15,0.037253607,0.021174755,0.040214315,0.15393578,0.050155006,0.023920504,0.033322025,0.081851326,0.02398311,0.03931222,0.073907845,0.37262523,0.036198266,0.01214601
